,Criteria,AIC,AWE,BIC,CLC,KIC
,AIC,1,2.0566,0.9198,2.5202,0.7491
,AWE,0.4862,1,0.4473,1.2254,0.3643
,BIC,1.0872,2.2358,1,2.7399,0.8144
,CLC,0.3968,0.816,0.365,1,0.2973
,KIC,1.3349,2.7453,1.2278,3.3642,1
,,,,,,
,,AIC,AWE,BIC,CLC,KIC
,2,487.11,806.74,574.42,429.12,519.11
,3,449.15,944.15,581.61,371.21,496.15
,4,448.86,1126.55,626.49,358.29,510.86
,5,474.12,1378.81,696.9,415.24,551.12
,,,,,,
,,AIC,AWE,BIC,CLC,KIC
,2,0.2053,0.1240,0.1741,0.2330,0.1926
,3,0.2226,0.1059,0.1719,0.2694,0.2016
,4,0.2228,0.0888,0.1596,0.2791,0.1957
,5,0.2109,0.0725,0.1435,0.2408,0.1814
,,,,,,
,,,,,,
,,,0.2053,0.2226,0.2228,0.2109
,,,,,,
,,AIC,2,3,4,5
0.2053,,2,1,0.9221,0.9215,0.9733
0.2226,,3,1.0845,1,0.9994,1.0556
0.2228,,4,1.0852,1.0006,1,1.0563
0.2109,,5,1.0274,0.9473,0.9467,1
,,,,,,
,,,0.1240,0.1059,0.0888,0.0725
,,,,,,
,,AWE,2,3,4,5
0.1240,,2,1,1.1703,1.3964,1.7091
0.1059,,3,0.8545,1,1.1932,1.4604
0.0888,,4,0.7161,0.8381,1,1.2239
0.0725,,5,0.5851,0.6848,0.8170,1
,,,,,,
,,,,,,
,,,0.1741,0.1719,0.1596,0.1435
,,,,,,
,,BIC,2,3,4,5
0.1741,,2,1,1.0125,1.0906,1.2132
0.1719,,3,0.9876,1,1.0772,1.1982
0.1596,,4,0.9169,0.9284,1,1.1124
0.1435,,5,0.8243,0.8346,0.8990,1
,,,,,,
,,,,,,
,,,0.2330,0.2694,0.2791,0.2408
,,,,,,
,,CLC,2,3,4,5
0.2330,,2,1,0.8650,0.8349,0.9677
0.2694,,3,1.1560,1,0.9652,1.1186
0.2791,,4,1.1977,1.0361,1,1.1589
0.2408,,5,1.0334,0.8940,0.8629,1
,,,,,,
,,,,,,
,,,0.1926,0.2016,0.1957,0.1814
,,,,,,
,,KIC,2,3,4,5
0.1926,,2,1,0.9558,0.9841,1.0617
0.2016,,3,1.0463,1,1.0296,1.1108
0.1957,,4,1.0161,0.9712,1,1.0788
0.1814,,5,0.9419,0.9003,0.9269,1
